questions,answer
  003+0,300 
  8+369,971 
 04+268,902 
 078+37,943 
816+401,722 
 53+511,150 
 083+85,438 
 44+763,411 
999+772,1276
167+741,908 
 643+51,361 
263+982,651 
  13+21,43  
068+984,1349
 242+74,289 
  11+94,60  
  961+8,177 
  21+88,100 
 618+92,845 
 409+71,921 
 41+758,871 
 53+243,377 
 16+845,609 
557+165,1316
 29+288,974 
  259+8,960 
  403+4,308 
258+316,1465
985+812,807 
 853+13,389 
  98+48,173 
 054+95,509 
  09+07,160 
 927+14,770 
  329+4,927 
  234+1,433 
 88+285,670 
 13+648,877 
892+398,1191
 79+267,859 
 108+24,843 
 26+005,562 
856+488,1542
535+955,1094
239+956,1591
 61+835,554 
656+468,1520
 36+795,660 
664+522,691 
 501+23,137 
 34+827,771 
 22+946,671 
715+206,1119
 269+47,1036
 36+391,256 
 18+755,638 
  3+841,151 
 409+65,960 
 276+34,715 
 15+829,979 
  9+411,123 
  51+21,27  
 704+51,422 
  347+6,749 
 417+56,779 
 113+62,337 
 096+76,757 
939+227,1661
 699+84,1044
 84+745,595 
 898+54,943 
677+949,1725
 84+844,496 
  981+2,191 
 93+829,967 
 71+183,398 
  06+32,83  
 467+42,788 
253+237,1084
524+511,540 
  66+95,125 
596+061,855 
 16+039,991 
  788+4,891 
475+828,1402
  3+657,759 
094+249,1432
271+028,992 
  81+17,89  
 27+797,869 
 068+45,914 
 89+703,405 
 45+264,516 
 96+815,587 
  847+2,750 
 016+86,678 
 03+029,950 
  664+0,466 
 68+261,248 
 42+634,460 
224+226,1044
  938+9,848 
  031+7,137 
 53+232,267 
 08+799,1077
073+049,1310
 394+09,583 
 448+03,874 
 87+714,495 
 523+91,344 
 789+23,1019
 38+417,797 
496+256,1346
 77+078,947 
 54+189,1026
 24+492,336 
895+088,1478
 634+77,513 
 662+79,363 
 55+196,746 
293+044,832 
  98+45,143 
  2+197,793 
  1+328,824 
  7+508,812 
 69+931,235 
  5+514,420 
994+698,1395
 09+785,677 
733+182,618 
718+638,1653
  26+23,94  
 351+86,221 
413+921,443 
 39+758,950 
 21+356,665 
 33+667,799 
 478+92,903 
 76+718,884 
 37+552,328 
799+966,1666
 41+613,330 
833+125,859 
 877+43,812 
222+184,703 
885+009,1488
893+422,622 
 922+97,308 
 601+87,184 
 59+744,542 
 27+417,786 
  543+9,354 
 43+405,538 
 61+705,523 
 029+29,1012
056+725,1177
  713+6,323 
  15+18,132 
694+716,1113
  95+96,128 
  9+283,391 
511+031,245 
 314+95,472 
312+821,341 
214+631,548 
981+265,751 
  652+0,256 
 07+675,646 
927+773,1106
  092+8,298 
 286+73,719 
  31+45,67  
  339+8,941 
 674+81,494 
 634+28,518 
 279+24,1014
693+276,1068
 597+42,819 
 89+423,422 
  6+612,222 
  457+8,762 
 099+28,1072
 497+22,816 
 995+74,646 
 851+05,208 
084+059,1430
 589+44,1029
  853+0,358 
  55+45,109 
 992+75,356 
024+591,615 
246+463,1006
  7+732,244 
  357+5,758 
 58+381,268 
523+576,1000
 26+133,393 
 907+43,743 
 714+12,438 
 16+026,681 
898+933,1237
053+116,961 
  066+6,666 
 62+048,866 
  51+71,32  
  9+715,526 
  829+3,931 
 73+239,969 
  2+774,479 
 31+882,301 
 805+46,572 
 18+672,357 
 61+211,128 
 566+09,755 
 59+435,629 
183+672,657 
 79+071,267 
 17+069,1031
 43+386,717 
 79+549,1042
  258+2,854 
 52+496,719 
 38+321,206 
 29+907,801 
  3+998,902 
 58+773,462 
  57+22,97  
382+076,953 
  6+424,430 
 09+526,715 
 854+24,500 
 825+85,586 
 51+308,818 
  0+787,787 
 41+315,527 
 875+45,632 
283+294,874 
396+302,896 
  6+034,436 
715+793,914 
516+675,1191
667+824,1194
 53+776,712 
098+521,1015
 816+86,686 
931+627,865 
069+627,1686
805+273,880 
 185+33,614 
 53+524,460 
  3+863,371 
879+166,1639
 85+866,726 
068+349,1803
 84+949,997 
129+021,1041
  65+69,152 
  797+2,799 
694+546,1141
 591+87,273 
 53+751,192 
978+935,1418
  5+762,272 
 705+84,555 
976+519,1594
 075+81,588 
558+276,1527
 64+552,301 
 614+14,457 
 52+888,913 
995+384,1082
 574+79,572 
 348+51,858 
 328+73,860 
 535+03,565 
149+484,1425
037+788,1617
754+991,656 
  5+426,629 
  737+3,740 
  169+7,968 
 786+03,717 
052+299,1242
 16+058,911 
709+797,1704
 052+67,326 
763+691,563 
 069+87,1038
806+364,1071
 097+65,846 
  1+173,372 
 75+489,1041
948+578,1724
 78+949,1036
  88+41,102 
 251+72,179 
 564+32,488 
 65+544,501 
 088+47,954 
 731+89,235 
799+801,1105
062+893,658 
 242+35,295 
 81+189,999 
 29+925,621 
464+352,717 
 377+17,844 
 966+66,735 
 39+486,777 
441+408,948 
 98+649,1035
 88+388,971 
 885+83,626 
 88+223,410 
  3+959,962 
 248+48,926 
 014+23,442 
 814+78,505 
 137+91,750 
 72+967,796 
 76+105,568 
 388+87,961 
  8+144,449 
 17+526,696 
 612+71,233 
987+337,1522
 871+28,260 
 282+61,298 
264+012,672 
091+442,434 
867+473,1142
 984+45,543 
285+091,772 
  29+96,161 
 989+47,1063
 886+73,725 
 16+466,725 
266+549,1607
 65+375,629 
 265+28,644 
533+014,745 
668+007,1566
313+032,543 
 117+23,743 
716+572,892 
  7+191,198 
779+497,1771
 61+634,452 
  0+532,235 
 891+93,237 
 756+24,699 
615+585,1101
995+915,1118
 367+91,782 
213+263,674 
 274+24,514 
 12+123,342 
  55+17,126 
 842+13,279 
  9+774,486 
  139+7,938 
 025+88,608 
 88+319,1001
  504+6,411 
  53+21,47  
 38+791,280 
 42+435,558 
 13+263,393 
 38+597,878 
  22+25,74  
 301+47,177 
 65+653,412 
  75+49,151 
062+247,1002
 77+554,532 
  29+36,155 
  29+81,110 
 684+19,577 
  3+627,729 
 82+814,446 
 334+54,478 
706+101,708 
176+428,1495
 22+187,803 
 57+396,768 
  454+3,457 
 27+044,512 
 472+31,287 
 356+42,677 
 405+99,603 
  65+03,86  
  19+18,172 
847+084,1228
  27+39,165 
449+765,1511
336+806,1241
 935+17,610 
 79+737,834 
 99+424,523 
 759+17,1028
 03+847,778 
 165+14,602 
  6+523,331 
978+809,1787
 295+76,659 
 15+069,1011
 588+66,951 
 35+556,708 
  24+26,104 
 033+24,372 
 353+13,384 
  688+8,894 
 22+043,362 
 194+19,582 
 17+293,463 
 696+14,737 
  695+3,599 
  97+66,145 
208+763,1169
 98+059,1039
 18+497,875 
 918+99,918 
 319+73,950 
 854+53,493 
533+441,479 
216+626,1238
  2+217,714 
 99+851,257 
  5+738,842 
  13+07,101 
 248+88,930 
474+927,1203
222+547,967 
756+197,1448
  897+0,798 
 387+37,856 
 89+806,706 
279+686,1658
 86+613,384 
858+684,1344
  801+8,116 
  8+979,987 
 902+09,299 
 41+528,839 
646+015,1156
423+862,592 
426+818,1442
 133+11,342 
 086+94,729 
 869+47,1042
 36+526,688 
546+556,1300
 47+025,594 
  886+8,696 
179+801,1079
 267+73,799 
 752+24,299 
376+428,1497
 56+838,903 
 96+032,299 
013+927,1039
  5+722,232 
 72+057,777 
 972+71,296 
435+886,1222
783+426,1011
  6+275,578 
  99+67,175 
001+816,718 
 57+796,772 
 061+97,239 
 88+546,733 
  1+364,464 
 789+77,1064
 72+373,400 
  508+2,807 
  78+39,180 
  27+59,167 
 532+35,288 
 623+81,344 
878+552,1133
 454+07,524 
  643+3,349 
 958+29,951 
482+038,1114
 422+95,283 
 864+31,481 
 75+887,845 
 54+432,279 
  49+49,188 
 22+261,184 
  1+401,105 
 34+376,716 
057+436,1384
 75+688,943 
 974+83,517 
 33+418,847 
 047+68,826 
  8+659,964 
 19+713,408 
 57+835,613 
  59+11,106 
  86+72,95  
775+564,1042
 28+666,748 
123+334,754 
 044+34,483 
 223+41,336 
 221+67,198 
 31+347,756 
 366+56,728 
 81+812,236 
417+301,817 
704+694,903 
 751+21,169 
 31+588,898 
011+194,601 
 265+08,642 
894+372,771 
  6+337,739 
791+958,1056
448+267,1606
643+734,783 
 89+002,298 
 09+044,530 
  146+7,648 
 209+55,957 
647+306,1349
  264+6,468 
 149+71,958 
 875+97,657 
 77+796,774 
 692+16,357 
 941+03,179 
333+116,944 
  59+82,123 
 96+728,896 
  4+583,389 
408+257,1556
  58+94,134 
  878+5,883 
 682+44,330 
 224+07,492 
 95+989,1048
  2+288,884 
908+691,1005
439+927,1663
 42+499,1018
 55+026,675 
 42+971,203 
 88+552,343 
 52+286,707 
 982+18,370 
  7+392,300 
147+209,1643
 77+259,1029
819+523,1243
 09+995,689 
 34+177,814 
 77+786,764 
334+109,1334
 77+898,975 
 039+88,1018
 452+91,273 
206+287,1384
188+728,1708
779+162,1238
 86+237,800 
 41+304,417 
933+229,1261
 531+75,192 
315+798,1410
 461+14,205 
 014+78,497 
 445+17,615 
574+198,1366
366+437,1397
 825+95,587 
166+491,855 
 78+801,195 
  405+4,508 
  9+268,871 
  14+45,95  
 306+33,636 
 307+83,741 
 99+375,672 
 907+33,742 
107+181,882 
 367+81,781 
 94+312,262 
  3+986,692 
 25+678,928 
149+635,1477
 199+45,1045
 823+17,399 
 686+97,765 
  5+102,206 
  48+18,165 
  75+96,126 
834+266,1100
357+296,1445
  81+08,98  
 05+293,442 
  928+0,829 
 95+313,372 
 079+07,1040
549+255,1497
428+232,1056
  58+35,138 
 938+56,904 
197+184,1272
837+199,1729
 24+646,688 
 428+76,891 
352+777,1030
343+599,1338
226+456,1276
 69+484,580 
 652+82,284 
 738+64,883 
 62+197,817 
553+329,1278
024+421,544 
  34+18,124 
793+656,1053
 873+44,422 
 311+69,209 
 93+015,549 
 63+543,381 
 898+02,918 
 71+108,818 
 891+09,288 
  831+5,143 
 195+74,638 
046+499,1634
 215+33,545 
203+849,1250
  659+9,965 
  323+6,329 
 627+65,782 
 311+64,159 
  85+36,121 
534+354,888 
819+283,1300
 372+96,342 
 717+62,743 
  85+88,146 
 073+94,419 
 35+052,303 
  5+186,686 
507+404,1109
  95+92,88  
192+498,1185
 99+847,847 
769+025,1487
  0+355,553 
  4+915,523 
 395+85,651 
  071+3,173 
 613+73,353 
 566+74,712 
 59+511,210 
187+088,1661
 076+69,766 
 384+64,529 
448+912,1063
 958+47,933 
 412+65,270 
  22+64,68  
457+592,1049
 425+88,612 
325+405,1027
 576+27,747 
877+861,946 
  255+7,559 
 274+58,557 
 41+287,796 
811+642,364 
 08+845,628 
  265+3,565 
 29+938,931 
 357+15,804 
395+629,1519
609+258,1758
499+137,1725
  061+4,164 
486+926,1313
 568+05,915 
392+068,1153
  51+65,71  
 14+242,283 
011+448,954 
 875+93,617 
 432+42,258 
076+261,832 
 828+48,912 
203+705,809 
  925+9,538 
 26+725,589 
471+579,1149
689+746,1633
 76+327,790 
 61+992,315 
 754+07,527 
 141+67,217 
389+283,1365
 626+94,675 
624+805,934 
 75+676,733 
 998+55,954 
699+721,1123
 37+744,520 
 485+92,613 
  1+374,474 
 05+566,715 
  67+88,164 
898+546,1543
015+872,788 
525+527,1250
136+581,816 
931+513,454 
  7+273,379 
 513+85,373 
 65+543,401 
 012+21,222 
 869+18,1049
 681+19,277 
 487+63,820 
  7+844,455 
953+615,875 
543+076,1015
 035+43,564 
  615+2,518 
937+438,1573
 562+96,334 
 671+63,212 
  681+1,187 
  483+9,393 
  285+5,587 
 52+161,186 
 47+565,639 
  1+309,904 
 94+198,940 
 656+82,684 
555+222,777 
 744+56,512 
 43+952,293 
 65+289,1038
 577+33,808 
 36+404,467 
  062+1,261 
217+201,814 
 534+68,521 
 18+055,631 
 99+397,892 
 398+49,987 
851+523,483 
769+745,1514
  784+8,495 
 309+25,955 
 06+345,603 
 79+114,508 
732+694,733 
682+131,417 
  14+74,88  
 98+757,846 
 117+73,748 
 75+557,812 
  904+4,413 
 759+94,1006
415+937,1253
 557+85,813 
339+418,1747
 683+68,472 
 86+443,412 
 011+69,206 
 46+452,318 
 768+09,957 
  488+0,884 
 836+91,657 
454+836,1092
  2+109,903 
 697+71,813 
 974+16,540 
  6+448,850 
461+764,631 
793+814,815 
 191+95,250 
 93+279,1011
  27+95,131 
055+333,883 
 39+633,429 
  2+594,497 
 297+31,805 
975+943,928 
 503+74,352 
  335+4,537 
  996+7,706 
 55+194,546 
  54+16,106 
  327+4,727 
  744+9,456 
 35+596,748 
718+595,1412
 87+403,382 
  11+21,23  
128+401,925 
923+221,451 
 175+93,610 
253+059,1302
 849+34,991 
  16+05,111 
 28+084,562 
 808+11,819 
  08+55,135 
 65+086,736 
199+072,1261
 351+12,174 
 012+14,251 
291+801,300 
 75+024,477 
 858+86,926 
 39+595,688 
 39+422,317 
 174+22,493 
654+704,863 
568+894,1363
 207+73,739 
  5+925,534 
 178+88,959 
 65+423,380 
 53+195,626 
 497+05,844 
586+892,983 
039+141,1071
 006+52,625 
416+397,1407
  29+85,150 
 67+531,211 
 257+42,776 
317+926,1342
 317+83,751 
  8+743,355 
074+545,1015
  4+149,945 
  0+277,772 
 622+32,249 
605+587,1291
814+287,1200
  474+0,474 
 56+392,358 
 66+081,246 
 15+822,279 
 63+578,911 
685+869,1554
099+018,1800
  6+934,445 
 97+419,993 
 404+49,498 
 325+16,584 
  9+849,957 
 36+693,459 
777+302,980 
  8+055,558 
 712+98,306 
 16+117,772 
701+834,545 
 83+028,858 
 767+07,837 
  6+696,702 
 557+19,846 
 58+066,745 
 439+66,1000
  9+455,563 
 872+07,348 
 53+489,1019
855+076,1228
 478+83,912 
852+052,508 
 95+964,528 
 093+24,432 
646+584,1131
 566+49,759 
  3+977,782 
 409+32,927 
 993+11,410 
 315+44,557 
727+915,1246
708+903,1116
 597+45,849 
 15+572,326 
 58+481,269 
 72+717,744 
 077+63,806 
 577+04,815 
 24+147,783 
  465+7,571 
964+067,1229
631+508,941 
 266+81,680 
  955+7,566 
 042+02,260 
  11+61,27  
 75+153,408 
  398+9,902 
 41+982,303 
341+394,636 
 397+22,815 
 82+177,799 
  96+71,86  
  566+6,671 
 68+955,645 
 437+01,744 
 85+307,761 
328+373,1196
 389+36,1046
 079+08,1050
 932+61,255 
435+829,1462
228+533,1157
 18+674,557 
 97+626,705 
 444+75,501 
 461+29,256 
259+656,1608
 68+551,241 
 01+755,567 
 787+13,818 
  2+706,609 
 445+37,617 
 78+527,812 
086+647,1426
768+544,1312
129+067,1681
  103+5,306 
441+958,1003
 44+181,225 
 17+258,923 
728+197,1618
 769+15,1018
056+876,1328
 31+138,844 
 08+802,288 
 81+806,626 
167+848,1609
657+758,1613
  2+131,133 
  8+621,134 
533+763,702 
  599+6,1001
341+052,393 
 665+07,636 
  27+02,92  
 17+483,455 
  1+302,204 
 63+641,182 
 919+18,1000
706+381,790 
  414+2,416 
 121+68,207 
 21+956,671 
 552+27,327 
 88+019,998 
  52+55,80  
291+612,408 
  764+2,469 
 27+675,648 
 899+36,1061
 184+98,570 
 134+23,463 
 32+728,850 
  682+5,291 
679+793,1373
 94+973,428 
157+686,1437
  97+46,143 
 71+724,444 
 19+833,429 
 41+063,374 
  4+059,954 
236+925,1161
 918+43,853 
  54+49,139 
  8+508,813 
174+267,1233
 98+982,378 
 644+91,465 
433+876,1012
 852+83,296 
 61+927,745 
 52+168,886 
 06+844,508 
 57+184,556 
 895+56,663 
 19+504,496 
 157+92,780 
 226+46,686 
  351+5,158 
 84+079,1018
 19+943,440 
 54+332,278 
  21+85,70  
485+054,1034
 35+734,490 
856+053,1008
653+876,1034
  6+473,380 
145+747,1288
 66+769,1033
 28+793,479 
 605+31,519 
946+736,1286
 03+104,431 
 681+43,220 
 397+65,849 
 329+13,954 
 727+63,763 
 12+142,262 
725+827,1255
809+472,1182
  28+43,116 
 28+576,757 
 84+675,624 
 381+93,222 
 023+55,375 
778+865,1445
  908+9,818 
  918+1,820 
 26+243,404 
 63+865,604 
 36+881,251 
977+379,1752
 59+707,802 
044+107,1141
 81+429,942 
 053+52,375 
087+194,1271
 49+534,529 
692+469,1260
 365+39,656 
 95+948,908 
791+051,347 
 666+97,745 
665+369,1529
  2+968,871 
 098+81,908 
 638+05,886 
 89+344,541 
245+592,837 
 19+747,838 
  113+1,312 
 731+35,190 
 45+625,580 
  877+1,779 
 96+662,335 
778+968,1746
 28+714,499 
  482+8,292 
527+516,1340
 365+41,577 
 26+867,830 
  79+19,188 
276+932,911 
503+133,636 
 957+86,827 
522+315,738 
763+303,670 
906+852,867 
 44+846,692 
  75+91,76  
463+772,641 
 857+04,798 
 34+141,184 
 544+32,468 
 278+49,966 
831+512,353 
621+629,1052
  37+16,134 
  787+9,796 
084+765,1047
 132+45,285 
849+799,1945
466+858,1522
  3+926,632 
822+964,697 
 389+77,1060
 124+66,487 
 49+255,646 
 86+418,882 
  3+077,773 
978+726,1506
376+957,1432
 142+42,265 
 76+609,973 
 598+33,928 
948+596,1544
  7+717,724 
596+881,883 
 171+76,238 
 05+209,952 
412+226,836 
097+931,929 
 69+841,244 
 94+111,160 
 491+45,248 
 22+199,1013
 56+026,685 
 45+189,1035
321+608,929 
 125+07,591 
 48+844,532 
  59+28,177 
865+505,1073
 004+93,439 
 01+109,911 
 25+587,837 
682+999,1285
726+694,1123
 26+763,429 
  5+299,997 
 611+29,208 
  943+6,355 
 208+72,829 
 154+31,464 
 416+58,699 
 46+836,702 
  0+033,330 
  178+6,877 
 04+933,379 
 43+176,705 
 07+207,772 
 962+58,354 
 273+14,413 
126+022,841 
491+134,625 
  7+103,308 
 705+86,575 
 768+69,963 
 42+131,155 
 32+811,141 
055+238,1382
  21+17,83  
 636+25,688 
 323+97,402 
 528+04,865 
 647+11,757 
 627+09,816 
 24+715,559 
  633+5,341 
 585+24,627 
452+092,544 
  451+7,161 
 728+86,895 
 156+99,750 
  91+05,69  
 62+513,341 
 69+126,717 
 951+14,200 
 789+87,1065
 307+14,744 
 693+34,439 
975+724,1006
  0+483,384 
362+204,665 
448+383,1227
  703+7,314 
 699+56,1061
 068+78,947 
 18+561,246 
  806+0,608 
 045+37,613 
 06+407,764 
207+004,1102
  29+56,157 
571+497,969 
 54+786,732 
917+135,1250
 881+74,235 
 47+657,830 
 51+864,483 
  385+0,583 
217+558,1567
 98+753,446 
  7+581,192 
 611+87,194 
  3+366,666 
 908+78,896 
698+559,1851
 346+18,724 
 74+008,847 
 82+712,245 
  75+56,122 
 571+29,267 
161+593,556 
 07+737,807 
449+054,1394
 24+414,456 
 664+06,526 
451+342,397 
 925+55,584 
 175+52,596 
  9+472,283 
 004+39,493 
 84+429,972 
 29+631,228 
  413+8,322 
  615+1,517 
 699+04,1036
 493+49,488 
 403+23,336 
  87+66,144 
 866+47,742 
 41+551,169 
 421+68,210 
 003+44,344 
 524+74,472 
016+685,1196
 56+197,856 
089+866,1648
842+265,810 
396+677,1469
  585+4,589 
 019+76,977 
 56+668,931 
 991+24,241 
  182+3,284 
 591+19,286 
153+108,1152
 576+94,724 
497+167,1555
815+857,1276
 113+49,405 
 241+65,198 
  4+672,280 
 676+41,690 
 12+997,820 
  89+21,110 
573+733,712 
 59+502,300 
  4+127,725 
 43+027,754 
  25+04,92  
 048+43,874 
 668+76,933 
639+935,1475
378+856,1531
  7+066,667 
  9+259,961 
 18+118,892 
324+035,953 
602+275,778 
  6+983,395 
 375+56,638 
267+213,1074
  321+0,123 
 02+827,748 
879+992,1277
  036+7,637 
093+539,1325
 201+24,144 
372+665,839 
536+586,1320
159+059,1901
 538+13,866 
 096+17,761 
 438+87,912 
 38+384,566 
717+033,1047
 15+958,910 
 64+289,1028
 912+12,240 
 46+837,802 
  9+433,343 
 681+62,212 
 27+487,856 
  74+89,145 
 43+423,358 
 849+84,996 
527+465,1289
  73+78,124 
 478+87,952 
  8+999,1007
 72+302,230 
 64+559,1001
 16+247,803 
 022+39,313 
 79+394,590 
 24+956,701 
 718+52,842 
 048+67,916 
 044+61,456 
 33+051,183 
  31+92,42  
 518+35,868 
  069+3,963 
 024+88,508 
 64+536,681 
 976+08,759 
 27+712,289 
  285+7,589 
  3+843,351 
 265+71,579 
 14+249,983 
 74+277,819 
  4+179,975 
 741+47,221 
 738+81,855 
 63+216,648 
274+814,890 
387+423,1107
  24+51,57  
 87+819,996 
 52+226,647 
  087+6,786 
  3+871,181 
 27+961,241 
 76+012,277 
893+288,1280
  0+254,452 
 398+46,957 
504+532,640 
235+365,1095
381+489,1167
 46+453,418 
 16+327,784 
 518+72,842 
 661+55,221 
  562+9,274 
226+838,1460
 894+94,547 
 585+08,665 
 281+82,210 
 075+41,584 
 87+749,1025
 329+27,995 
 28+382,365 
 11+059,961 
  255+3,555 
 489+21,996 
 582+11,296 
 445+38,627 
154+569,1416
 18+422,305 
842+664,714 
522+122,446 
 883+32,411 
 42+782,311 
 849+49,1042
 175+58,656 
702+497,1001
 83+712,255 
205+313,815 
  6+875,584 
867+506,1373
 83+318,851 
 226+99,721 
 696+18,777 
 09+961,259 
072+755,827 
  767+9,776 
 52+049,965 
732+981,426 
 501+42,129 
 88+105,589 
 628+82,854 
513+635,851 
441+028,964 
 892+02,318 
776+887,1465
 92+892,327 
 534+34,478 
 725+59,622 
219+539,1847
618+228,1638
 916+93,658 
911+241,261 
 128+06,881 
 849+39,1041
 55+647,801 
  4+947,753 
585+534,1020
096+568,1555
 988+68,975 
094+388,1373
  82+29,120 
 121+08,201 
  113+8,319 
  6+274,478 
 63+506,641 
 289+56,1047
 12+258,873 
 18+981,270 
088+913,1199
 77+475,651 
  676+7,683 
721+936,766 
 89+179,1069
 33+351,186 
288+503,1187
  8+583,393 
077+724,1197
493+332,627 
 39+384,576 
  968+4,873 
 07+581,255 
  81+07,88  
498+097,1684
 38+305,586 
  6+162,267 
 393+38,476 
133+575,906 
  719+6,923 
 643+31,359 
 941+28,231 
 647+92,775 
  922+2,231 
 608+15,857 
 26+198,953 
 962+66,335 
 646+27,718 
 31+217,725 
234+287,1214
 396+78,780 
 753+12,378 
 32+066,683 
 636+45,690 
003+779,1277
 382+56,348 
  0+759,957 
  445+2,546 
 263+76,429 
  9+079,979 
 648+04,886 
921+139,1060
177+738,1608
931+057,889 
364+083,843 
377+101,874 
 261+64,208 
 396+71,710 
 81+508,823 
 97+668,945 
 51+655,571 
 019+06,970 
642+025,766 
 636+32,659 
  24+18,123 
 277+55,827 
  872+5,283 
 05+391,243 
  459+1,955 
 381+26,245 
  6+559,961 
 216+87,690 
 902+56,274 
435+826,1162
 399+47,1067
  1+715,518 
 19+418,905 
  94+79,146 
 65+631,192 
 741+83,185 
683+467,1150
938+259,1791
 27+821,200 
757+907,1466
189+727,1708
 316+78,700 
  3+698,899 
  09+35,143 
 72+974,506 
 333+37,406 
846+499,1642
 419+83,952 
 687+39,879 
 166+97,740 
  18+75,138 
 87+903,387 
995+078,1469
  28+22,104 
 988+51,904 
  288+6,888 
 08+992,379 
  62+09,116 
 726+15,678 
  0+703,307 
 35+487,837 
548+973,1224
 087+45,834 
387+972,1062
941+927,878 
 115+36,574 
  5+625,531 
642+473,620 
909+203,1211
  0+805,508 
403+989,1293
 152+56,316 
 507+03,735 
 77+997,876 
 006+07,670 
967+347,1512
 93+954,498 
  523+7,332 
901+296,801 
  0+466,664 
 354+29,545 
  52+16,86  
467+029,1684
 85+686,744 
 49+738,931 
506+988,1494
 63+784,523 
 183+24,423 
 97+228,901 
 82+982,317 
 28+792,379 
 24+757,799 
  2+589,987 
 135+52,556 
 744+19,538 
 805+31,521 
  0+659,956 
 44+148,885 
 481+87,262 
337+724,1160
 333+91,352 
939+553,1294
436+608,1440
 54+911,164 
 085+31,593 
 855+57,633 
 56+514,480 
  9+463,373 
414+479,1388
  4+056,654 
 555+87,633 
 451+36,217 
 67+499,1070
  503+9,314 
 459+21,966 
 268+75,919 
987+275,1361
 27+065,632 
 35+918,872 
533+817,1053
408+379,1777
067+627,1486
 29+052,342 
214+448,1256
843+104,749 
929+926,1558
  99+07,169 
 08+454,534 
 461+78,251 
 82+946,677 
 62+441,170 
 02+381,203 
314+242,655 
  2+558,857 
 66+004,466 
  1+913,320 
 783+76,454 
 58+952,344 
 95+015,569 
 764+67,543 
529+633,1261
 88+916,707 
658+005,1356
  35+74,100 
932+932,478 
956+146,1300
514+488,1299
 741+43,181 
954+684,945 
568+155,1416
  221+4,126 
675+151,727 
771+173,548 
 65+283,438 
973+749,1326
 01+502,215 
433+681,520 
 92+421,153 
611+019,1026
 928+15,880 
 96+979,1048
  58+65,141 
 478+08,954 
 36+073,433 
  39+35,146 
  5+607,711 
318+934,1252
 647+71,763 
  707+9,716 
 747+18,828 
241+049,1082
 57+494,569 
 421+11,135 
662+662,532 
476+911,793 
  185+3,584 
 63+187,817 
282+448,1126
837+511,853 
198+822,1119
 163+81,379 
927+609,1635
 207+95,761 
366+324,1086
 14+445,585 
 206+33,635 
  04+87,118 
  53+54,80  
104+227,1123
 52+331,158 
 62+598,921 
  553+8,363 
  82+91,47  
 965+35,622 
 79+017,807 
  323+7,330 
 114+55,466 
263+787,1149
 53+707,742 
 54+625,571 
 22+713,339 
814+979,1397
 92+094,519 
  096+9,699 
 465+95,623 
053+111,461 
664+616,1082
 58+929,1014
 468+36,927 
748+389,1830
105+355,1054
 38+272,355 
733+346,980 
 267+56,827 
 12+793,418 
 572+41,289 
 878+32,901 
 169+37,1034
025+805,1028
 64+242,288 
 034+29,522 
397+605,1299
 605+63,542 
 922+84,277 
 63+965,605 
819+207,1620
 469+33,997 
723+854,785 
809+695,1504
317+216,1325
954+757,1216
 062+24,302 
 62+876,704 
 59+924,524 
  4+816,622 
071+523,495 
 822+01,238 
758+451,1011
 08+756,737 
743+848,1195
 66+896,764 
 59+364,558 
617+731,853 
487+561,949 
  35+05,103 
 972+06,339 
 282+79,379 
  379+9,982 
 06+527,785 
  097+7,797 
 358+96,922 
 117+49,805 
 242+27,314 
 46+369,1027
  823+1,329 
737+145,1278
  0+389,983 
 98+916,708 
 519+96,984 
 713+32,340 
  82+79,125 
 28+532,317 
 12+833,359 
752+157,1008
 51+134,446 
  647+0,746 
  64+19,137 
 61+745,563 
  14+19,132 
725+966,1196
 924+09,519 
  5+377,778 
 53+069,995 
 51+561,180 
 77+118,888 
012+367,973 
175+451,725 
569+868,1833
 752+68,343 
177+642,1017
  14+39,134 
404+082,684 
 167+58,846 
184+562,746 
 788+53,922 
 12+991,220 
 175+39,664 
 913+84,367 
  719+1,918 
  811+2,120 
 43+664,500 
 244+31,455 
591+386,878 
  545+9,554 
 289+87,1060
249+388,1825
 307+66,769 
 126+51,636 
  26+45,116 
 487+37,857 
 17+586,756 
 92+873,407 
329+284,1405
  7+164,468 
 519+71,932 
406+083,984 
 777+96,846 
 95+773,436 
 123+18,402 
  3+894,501 
 206+91,621 
 56+476,739 
 97+231,211 
  165+2,563 
 661+17,237 
 557+98,844 
 113+45,365 
 45+586,739 
 448+84,892 
325+908,1332
  363+0,363 
 553+43,389 
438+646,1480
 066+05,710 
749+456,1601
138+128,1652
732+819,1155
  24+54,87  
 572+42,299 
 26+055,612 
193+513,706 
493+494,888 
 09+675,666 
 417+65,770 
742+603,553 
 523+75,382 
787+185,1368
  718+8,825 
026+589,1605
  53+08,115 
211+682,398 
327+592,1018
 171+13,202 
 191+01,201 
  0+825,528 
 769+32,990 
 99+755,656 
 12+056,671 
 14+898,939 
 51+969,984 
472+049,1214
 62+971,205 
181+648,1027
216+727,1339
  355+7,560 
 696+36,759 
099+646,1636
 593+44,439 
585+566,1250
486+669,1650
 07+748,917 
 092+93,329 
 426+79,721 
956+579,1634
773+607,1083
  26+68,148 
926+926,1258
 161+59,256 
 85+492,352 
  79+95,156 
  667+4,770 
 714+15,468 
  39+96,162 
 319+55,968 
239+266,1594
 334+31,446 
  8+039,938 
 345+55,598 
 95+555,614 
529+387,1708
054+811,568 
  5+482,289 
  669+5,971 
